Liste_Fiyati_Numeric_Normalized,Sayfa_Sayisi_Numeric_Normalized,Favorilere Ekleyen Kişi Sayısı_Normalized,Okuyacağım olarak işaretlenmiş sayısı_Normalized,Okuyorum olarak işaretlenmiş sayısı_Normalized,Okudum olarak işaretlenmiş sayısı_Normalized,Toplam Yorum Sayısı_Normalized,Puan_Degeri_Normalized,Oy_Sayisi_Normalized,Toplam Satılma Sayısı_Normalized,Dil_Encoded,Cilt Tipi_Encoded,Kağıt Cinsi_Encoded,Ana_Kategori_Bilim & Mühendislik,Ana_Kategori_Diger,Ana_Kategori_Diğer,Ana_Kategori_Edebiyat,Ana_Kategori_Felsefe-Düşünce,Ana_Kategori_Kişisel Gelişim,Ana_Kategori_Siyaset,Ana_Kategori_Sosyoloji,Ana_Kategori_Tarih,Ana_Kategori_Çocuk Kitapları,Ana_Kategori_İslam,Toplam Satılma Sayısı
0.2266288951841359,0.2040816326530612,0.0276338514680483,0.0,0.0,0.0020986358866736,0.0078947368421052,1.0,0.0002202158114952,0.7019730010384215,0,1,3,0,0,0,0,0,0,0,0,0,1,0,339.0
0.5643059490084985,0.6666666666666666,0.390328151986183,0.0109090909090909,0.003875968992248,0.0503672612801678,0.0394736842105263,1.0,0.0045144241356529,0.5233644859813084,0,1,3,0,0,0,1,0,0,0,0,0,0,0,253.0
0.498583569405099,0.3809523809523809,0.082901554404145,0.009090909090909,0.0,0.0031479538300104,0.0131578947368421,1.0,0.0007707553402334,0.166147455867082,0,1,3,0,0,0,0,0,0,1,0,0,0,0,81.0
0.2810198300283286,0.4098639455782313,0.1243523316062176,0.009090909090909,0.0,0.0020986358866736,0.0,1.0,0.0003303237172428,0.1495327102803738,0,1,3,0,0,0,1,0,0,0,0,0,0,0,73.0
0.4509915014164305,0.3945578231292517,0.3696027633851468,0.0236363636363636,0.003875968992248,0.0545645330535152,0.0263157894736842,0.75,0.0035234529839242,0.3904465212876428,0,1,3,0,0,0,1,0,0,0,0,0,0,0,189.0
0.3127478753541076,0.3741496598639455,0.0379965457685664,0.0018181818181818,0.0,0.0010493179433368,0.0026315789473684,1.0,0.0,0.6625129802699895,0,1,3,0,0,0,1,0,0,0,0,0,0,0,320.0
1.0,0.8843537414965985,0.1727115716753022,0.0236363636363636,0.0,0.0041972717733473,0.0131578947368421,0.75,0.0016516185862144,0.1931464174454828,0,1,3,0,0,0,0,0,0,0,0,0,0,1,94.0
0.2492917847025495,0.1564625850340136,0.4145077720207253,0.0145454545454545,0.0,0.0010493179433368,0.0,1.0,0.0004404316229905,0.2782969885773624,0,1,3,0,0,0,0,0,0,1,0,0,0,0,135.0
0.3399433427762039,0.4081632653061224,0.3730569948186528,0.0345454545454545,0.0,0.0020986358866736,0.0026315789473684,1.0,0.0004404316229905,0.1578400830737279,0,1,3,0,0,0,0,1,0,0,0,0,0,0,77.0
0.3399433427762039,0.3129251700680272,0.3143350604490501,0.0072727272727272,0.001937984496124,0.0073452256033578,0.0052631578947368,1.0,0.0006606474344857,0.1017653167185877,0,1,3,0,0,0,0,0,0,0,0,1,0,0,50.0
0.2266288951841359,0.3265306122448979,0.1692573402417962,0.0018181818181818,0.0,0.0041972717733473,0.0026315789473684,0.75,0.0001101079057476,0.0726895119418483,0,1,3,0,0,0,1,0,0,0,0,0,0,0,36.0
1.0,0.6666666666666666,0.7979274611398963,0.0418181818181818,0.003875968992248,0.0073452256033578,0.0052631578947368,0.75,0.0015415106804668,0.4402907580477674,0,1,3,0,1,0,0,0,0,0,0,0,0,0,213.0
0.2832861189801699,0.0952380952380952,0.2728842832469775,0.0036363636363636,0.001937984496124,0.0020986358866736,0.0026315789473684,1.0,0.0001101079057476,0.3177570093457944,0,1,3,0,0,0,1,0,0,0,0,0,0,0,154.0
0.6481586402266288,0.3129251700680272,0.1485319516407599,0.0054545454545454,0.0,0.0031479538300104,0.0052631578947368,0.75,0.0004404316229905,0.2159916926272066,0,1,3,0,0,0,1,0,0,0,0,0,0,0,105.0
1.0,1.0,0.6044905008635578,0.0072727272727272,0.001937984496124,0.0031479538300104,0.0026315789473684,1.0,0.0003303237172428,0.2035306334371754,0,1,3,0,1,0,0,0,0,0,0,0,0,0,99.0
0.3104815864022662,0.3401360544217687,0.0725388601036269,0.0036363636363636,0.0,0.0,0.0,1.0,0.0004954855758643,0.0249221183800623,0,1,3,0,0,0,0,0,0,0,0,1,0,0,13.0
0.838526912181303,0.8843537414965985,0.3316062176165802,0.0127272727272727,0.0,0.0094438614900314,0.0236842105263157,1.0,0.0014314027747192,0.2429906542056074,0,1,3,0,0,0,1,0,0,0,0,0,0,0,118.0
0.5643059490084985,0.5306122448979591,0.697754749568221,0.0109090909090909,0.0,0.0199370409233997,0.0210526315789473,0.75,0.0022021581149526,0.4589823468328141,0,1,3,0,0,0,1,0,0,0,0,0,0,0,222.0
0.3762039660056657,0.0952380952380952,0.1761658031088082,0.0018181818181818,0.0,0.0041972717733473,0.0026315789473684,1.0,0.0,0.1121495327102803,0,1,3,0,0,0,0,0,0,1,0,0,0,0,55.0
0.5212464589235127,0.3231292517006802,0.1105354058721934,0.0054545454545454,0.001937984496124,0.0020986358866736,0.0052631578947368,0.75,0.0004404316229905,0.0747663551401869,0,1,3,0,0,0,1,0,0,0,0,0,0,0,37.0
0.5643059490084985,0.5034013605442176,0.1347150259067357,0.0054545454545454,0.001937984496124,0.0,0.0026315789473684,1.0,0.0001101079057476,0.4776739356178608,0,1,3,0,0,0,0,0,0,1,0,0,0,0,231.0
0.5212464589235127,0.5170068027210883,0.0138169257340241,0.0,0.0,0.0,0.0,1.0,0.0,0.0124610591900311,0,1,3,0,1,0,0,0,0,0,0,0,0,0,7.0
0.3399433427762039,0.2585034013605442,1.0,0.0436363636363636,0.0135658914728682,0.0167890870933892,0.0210526315789473,0.75,0.0009909711517286,1.0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,482.5
0.6776203966005665,0.336734693877551,0.1623488773747841,0.0036363636363636,0.0,0.0020986358866736,0.0026315789473684,1.0,0.0,0.122533748701973,0,1,3,0,1,0,0,0,0,0,0,0,0,0,60.0
0.5665722379603398,0.4217687074829931,0.6044905008635578,0.009090909090909,0.003875968992248,0.0031479538300104,0.0,0.75,0.0002202158114952,0.3052959501557633,0,1,3,0,0,0,0,1,0,0,0,0,0,0,148.0
0.3852691218130311,0.4251700680272108,0.0690846286701209,0.0036363636363636,0.001937984496124,0.0010493179433368,0.0026315789473684,1.0,0.0001101079057476,0.0332294911734164,0,1,3,0,0,0,1,0,0,0,0,0,0,0,17.0
0.2266288951841359,0.2040816326530612,0.1796200345423143,0.0054545454545454,0.003875968992248,0.0041972717733473,0.0052631578947368,1.0,0.0004404316229905,0.2035306334371754,0,1,3,0,1,0,0,0,0,0,0,0,0,0,99.0
1.0,0.2312925170068027,0.0587219343696027,0.0,0.0,0.0,0.0,1.0,0.0,0.0643821391484942,0,1,4,0,1,0,0,0,0,0,0,0,0,0,32.0
0.4963172804532577,0.4489795918367347,0.2072538860103626,0.0072727272727272,0.0,0.0041972717733473,0.0052631578947368,0.75,0.0004404316229905,0.0976116303219107,0,1,3,0,0,0,1,0,0,0,0,0,0,0,48.0
0.5552407932011331,0.9931972789115646,0.1381692573402418,0.0036363636363636,0.001937984496124,0.0031479538300104,0.0105263157894736,1.0,0.0007707553402334,0.0789200415368639,0,1,3,0,0,0,1,0,0,0,0,0,0,0,39.0
0.1813031161473087,0.163265306122449,0.2590673575129533,0.009090909090909,0.0,0.0020986358866736,0.0052631578947368,1.0,0.0002202158114952,0.4361370716510903,0,1,3,0,0,0,1,0,0,0,0,0,0,0,211.0
0.4532577903682719,0.5306122448979591,0.770293609671848,0.0327272727272727,0.001937984496124,0.0094438614900314,0.0210526315789473,0.75,0.0018718343977097,0.2512980269989616,0,1,3,0,0,0,1,0,0,0,0,0,0,0,122.0
0.746742209631728,0.4353741496598639,0.3523316062176165,0.0363636363636363,0.001937984496124,0.0104931794333683,0.0105263157894736,1.0,0.000880863245981,0.3364485981308411,0,1,3,0,0,0,1,0,0,0,0,0,0,0,163.0
0.4305949008498583,0.4200680272108843,0.0587219343696027,0.0018181818181818,0.0,0.0010493179433368,0.0,1.0,0.0004954855758643,0.0768431983385254,0,1,3,1,0,0,0,0,0,0,0,0,0,0,38.0
1.0,0.8503401360544217,0.0552677029360967,0.0,0.0,0.0,0.0,1.0,0.0004954855758643,0.0623052959501557,0,1,3,0,1,0,0,0,0,0,0,0,0,0,31.0
1.0,0.7823129251700679,0.0863557858376511,0.0,0.0,0.0,0.0,1.0,0.0004954855758643,0.0166147455867082,0,0,3,0,0,0,0,0,0,0,0,0,0,1,9.0
0.509915014164306,0.163265306122449,0.1243523316062176,0.0036363636363636,0.0,0.0010493179433368,0.0,1.0,0.0004954855758643,0.0726895119418483,0,1,3,0,0,0,0,0,1,0,0,0,0,0,36.0
0.5643059490084985,0.6530612244897959,0.2797927461139896,0.0163636363636363,0.0,0.0178384050367261,0.0157894736842105,1.0,0.0013212948689715,0.3011422637590862,0,1,3,0,0,0,1,0,0,0,0,0,0,0,146.0
0.6776203966005665,0.3333333333333333,0.0518134715025906,0.0054545454545454,0.0,0.0010493179433368,0.0026315789473684,0.0,0.0,0.0581516095534787,0,1,3,0,0,0,1,0,0,0,0,0,0,0,29.0
0.5643059490084985,0.6394557823129251,0.4006908462867012,0.0127272727272727,0.001937984496124,0.0146904512067156,0.0052631578947368,0.75,0.000880863245981,0.1889927310488058,0,1,3,0,0,0,1,0,0,0,0,0,0,0,92.0
0.0,0.4217687074829931,0.1001727115716753,0.0036363636363636,0.0,0.0031479538300104,0.0,0.75,0.0002202158114952,0.1204569055036344,0,1,3,0,0,0,0,0,0,1,0,0,0,0,59.0
0.8838526912181303,0.6530612244897959,0.0130811744386873,0.5018181818181818,0.0872093023255814,0.4994753410283316,0.3710526315789473,1.0,0.0222417969610218,1.0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,482.5
0.4759206798866855,0.3877551020408163,0.4317789291882556,0.02,0.0,0.0083945435466946,0.0105263157894736,1.0,0.000880863245981,0.6230529595015576,0,1,3,0,0,0,1,0,0,0,0,0,0,0,301.0
0.4532577903682719,0.2312925170068027,0.1968911917098445,0.0036363636363636,0.0,0.0020986358866736,0.0,1.0,0.0004954855758643,0.087227414330218,0,1,3,1,0,0,0,0,0,0,0,0,0,0,43.0
0.3286118980169971,0.3673469387755102,0.1139896373056994,0.0072727272727272,0.0,0.0010493179433368,0.0,1.0,0.0001101079057476,0.0685358255451713,0,1,3,0,0,0,1,0,0,0,0,0,0,0,34.0
0.4147308781869688,0.4081632653061224,0.006908462867012,0.0018181818181818,0.0,0.0010493179433368,0.0,1.0,0.0004954855758643,0.0290758047767393,0,1,3,0,0,0,1,0,0,0,0,0,0,0,15.0
0.9745042492917846,0.5136054421768707,0.0038376511226252,0.0745454545454545,0.0135658914728682,0.0241343126967471,0.0473684210526315,1.0,0.0036335608896718,1.0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,482.5
1.0,0.7891156462585033,0.3212435233160621,0.0163636363636363,0.0,0.0031479538300104,0.0052631578947368,1.0,0.0001101079057476,0.1578400830737279,0,1,3,0,0,0,0,0,0,0,0,1,0,0,77.0
1.0,0.7755102040816326,0.6044905008635578,0.0181818181818181,0.001937984496124,0.0199370409233997,0.0368421052631578,1.0,0.0027526976436908,0.3883696780893043,0,1,3,0,0,0,1,0,0,0,0,0,0,0,188.0
0.4963172804532577,0.4761904761904762,0.9464594127806564,0.0272727272727272,0.0,0.0461699895068205,0.0368421052631578,0.75,0.0049548557586434,0.7642782969885773,0,1,3,0,0,0,1,0,0,0,0,0,0,0,369.0
0.997167138810198,0.4829931972789116,0.0414507772020725,0.0,0.0,0.0,0.0026315789473684,1.0,0.0,0.1433021806853582,0,1,3,0,1,0,0,0,0,0,0,0,0,0,70.0
0.4532577903682719,0.6666666666666666,1.0,0.0309090909090909,0.001937984496124,0.0052465897166841,0.0052631578947368,0.75,0.0015415106804668,0.739356178608515,0,1,3,0,1,0,0,0,0,0,0,0,0,0,357.0
0.5881019830028328,0.3401360544217687,0.3454231433506045,0.0109090909090909,0.0,0.0020986358866736,0.0052631578947368,1.0,0.0003303237172428,0.1349948078920041,0,1,3,0,0,0,1,0,0,0,0,0,0,0,66.0
0.2266288951841359,0.1904761904761904,0.9602763385146804,0.04,0.005813953488372,0.0398740818467995,0.0447368421052631,0.75,0.0055053952873816,1.0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,482.5
0.2039660056657223,0.119047619047619,0.1761658031088082,0.0109090909090909,0.0,0.0041972717733473,0.0026315789473684,0.75,0.0003303237172428,0.3426791277258567,0,1,3,1,0,0,0,0,0,0,0,0,0,0,166.0
0.3172804532577903,0.2448979591836734,0.082901554404145,0.0,0.0,0.0,0.0,1.0,0.0004954855758643,0.043613707165109,0,1,3,0,0,0,1,0,0,0,0,0,0,0,22.0
1.0,0.272108843537415,0.0172711571675302,0.0,0.0,0.0,0.0,1.0,0.0004954855758643,0.2014537902388369,0,1,3,0,1,0,0,0,0,0,0,0,0,0,98.0
0.1087818696883852,0.0782312925170068,0.0345423143350604,0.0036363636363636,0.0,0.0031479538300104,0.0026315789473684,1.0,0.0001101079057476,0.3426791277258567,0,1,3,0,0,0,0,0,0,0,0,0,0,1,166.0
0.1586402266288951,0.1054421768707483,0.003454231433506,0.0,0.0,0.0,0.0,1.0,0.0004954855758643,0.0913811007268951,0,1,3,0,0,0,1,0,0,0,0,0,0,0,45.0
0.5643059490084985,0.5578231292517006,0.4525043177892918,0.0345454545454545,0.0,0.0325288562434417,0.0368421052631578,1.0,0.0024223739264479,0.8099688473520249,0,1,3,0,0,0,1,0,0,0,0,0,0,0,391.0
0.7932011331444758,0.4489795918367347,0.3557858376511226,0.0054545454545454,0.001937984496124,0.0,0.0026315789473684,1.0,0.0,0.1952232606438213,0,1,3,0,0,0,0,0,1,0,0,0,0,0,95.0
0.4509915014164305,0.3129251700680272,0.4801381692573402,0.0145454545454545,0.001937984496124,0.0251836306400839,0.0105263157894736,0.75,0.000880863245981,0.5025960539979231,0,1,3,0,0,0,1,0,0,0,0,0,0,0,243.0
0.2039660056657223,0.2040816326530612,0.0172711571675302,0.0,0.0,0.0031479538300104,0.0,1.0,0.0004954855758643,0.3738317757009345,0,1,3,0,0,0,1,0,0,0,0,0,0,0,181.0
0.4532577903682719,0.2857142857142857,0.0103626943005181,0.0036363636363636,0.0,0.0,0.0,1.0,0.0001101079057476,0.1952232606438213,0,1,3,0,1,0,0,0,0,0,0,0,0,0,95.0
0.7240793201133144,0.4217687074829931,0.2625215889464594,0.02,0.001937984496124,0.0094438614900314,0.0210526315789473,1.0,0.0013212948689715,0.1308411214953271,0,1,3,0,0,0,1,0,0,0,0,0,0,0,64.0
0.5643059490084985,0.693877551020408,1.0,0.0672727272727272,0.0077519379844961,0.0503672612801678,0.0421052631578947,0.75,0.0045144241356529,0.7185877466251297,0,1,3,0,0,0,1,0,0,0,0,0,0,0,347.0
0.498583569405099,0.3962585034013605,0.0932642487046632,0.0054545454545454,0.0,0.0,0.0,1.0,0.0,0.0581516095534787,0,1,3,0,1,0,0,0,0,0,0,0,0,0,29.0
1.0,0.4625850340136054,0.234887737478411,0.0072727272727272,0.001937984496124,0.0010493179433368,0.0026315789473684,0.75,0.0002202158114952,0.3696780893042575,0,1,3,0,1,0,0,0,0,0,0,0,0,0,179.0
0.9291784702549576,0.9659863945578232,0.0690846286701209,0.0072727272727272,0.0,0.0041972717733473,0.0026315789473684,0.75,0.0006606474344857,0.0581516095534787,0,1,3,0,0,0,1,0,0,0,0,0,0,0,29.0
0.4963172804532577,0.3401360544217687,1.0,0.1927272727272727,0.0232558139534883,0.0839454354669465,0.181578947368421,0.75,0.0180576965426117,1.0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,482.5
0.3399433427762039,0.3673469387755102,0.003454231433506,0.0,0.0,0.0,0.0,1.0,0.0004954855758643,0.0020768431983385,0,1,3,0,0,0,1,0,0,0,0,0,0,0,2.0
0.406798866855524,0.217687074829932,0.1174438687392055,0.0127272727272727,0.003875968992248,0.0073452256033578,0.0078947368421052,1.0,0.0005505395287381,0.0623052959501557,0,1,3,0,0,0,1,0,0,0,0,0,0,0,31.0
