Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Macera İçinde Macera,Kitap > Çocuk Kitapları > Diğer,Kolektif,LOTİ KİTAP,5 / 5 (3 oy),8,0,0,2,"150,00",25.01.2024,TÜRKÇE,144,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,339,3
Zevk Mahkumu,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Kresley Cole,PEGASUS YAYINLARI,5 / 5 (42 oy),113,6,2,48,"299,00",18.02.2015,TÜRKÇE,416,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,253,15
Alman KışıNeo-Liberal Çağın Almanya’sında Irkçılığın Hedefindeki Göçmenler,Kitap > Siyaset > Bölgeler-Ülkeler > Kitap > Siyaset > Araştırma-İnceleme,O. Can Ünver,NİKA YAYINEVİ,5 / 5 (8 oy),24,5,0,3,"270,00",10.12.2015,TÜRKÇE,248,Karton Kapak,14 x 21 cm,Kitap Kağıdı,81,5
Dersim Alexanderplatz,Kitap > Edebiyat > Roman (Çeviri),İmran Ayata,İLETİŞİM YAYINLARI KAMPANYA,5 / 5 (4 oy),36,5,0,2,"174,00",17.07.2020,TÜRKÇE,265,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,73,0
Tehlikeli Temas,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Abbi Glines,PEGASUS YAYINLARI,4 / 5 (33 oy),107,13,2,52,"249,00",17.06.2015,TÜRKÇE,256,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,189,10
Salyangoz,Kitap > Edebiyat > Roman (Yerli),Hande Acarel,EPONA KİTAP,5 / 5 (1 oy),11,1,0,1,"188,00",28.12.2023,TÜRKÇE,244,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,320,1
Kur'an'da Peygamberlik ve Peygamberimiz Hz. Muhammed Mustafa (s.a.v.),Kitap > İslam > Siyer > Kitap > İslam > Kuran İncelemeleri,Ahmet Okutan,RAĞBET YAYINLARI-KAMPANYA,4 / 5 (16 oy),50,13,0,4,"600,00",02.06.2015,TÜRKÇE,544,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,94,5
Kısa Galler Tarihi,Kitap > Siyaset > Siyasal Tarih,Owen Edwards,LİBERUS,5 / 5 (5 oy),120,8,0,1,"160,00",10.07.2023,TÜRKÇE,116,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,135,0
Aşkın Anatomisi,Kitap > Felsefe-Düşünce > Genel,A. Kirch,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (5 oy),108,19,0,2,"200,00",01.01.2005,TÜRKÇE,264,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,77,1
Şu Diktatörler Ne Yer Ne İçer?,Kitap > Tarih > Araştırma-İnceleme,Christian Roudaut,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (7 oy),91,4,1,7,"200,00",17.09.2022,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,50,2
Ey Aşk! Bizi Affet,Kitap > Edebiyat > Diğer,Fatih Aydemir,HAYY KİTAP - KAMPANYA,4 / 5 (2 oy),49,1,0,4,"150,00",13.10.2020,TÜRKÇE,216,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,36,1
Sabina SpielreinPsikanalizin Unutulmuş Öncüsü,Kitap > Psikoloji > Genel,Kolektif,PİNHAN YAYINCILIK-KAMPANYA,4 / 5 (15 oy),231,23,2,7,"630,00",25.04.2016,TÜRKÇE,416,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,213,2
La Fanfarlo,Kitap > Edebiyat > Roman (Çeviri),Charles Baudelaire,LAKİN YAYINLARI,5 / 5 (2 oy),79,2,1,2,"175,00",05.03.2024,TÜRKÇE,80,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,154,1
Tarihin Kayıp Yüzü,Kitap > Edebiyat > Tarihi Roman,Şafak Tunç,MOTTO,4 / 5 (5 oy),43,3,0,3,"336,00",08.09.2023,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,105,2
İngiltere (Birleşik Krallık) Siyaseti,Kitap > Akademik > Siyaset İnceleme,Prof. Dr. Ozan Örmeci,URZENİ,5 / 5 (4 oy),175,4,1,3,"800,00",14.11.2020,TÜRKÇE,620,Karton Kapak,15 x 23 cm,Kitap Kağıdı,99,1
Alparslan,Kitap > Tarih > Araştırma-İnceleme,Muzaffer Kadiroğlu,YEDİVEREN YAYIN GRUBU - KAMPANYA,Puan Yok,21,2,0,0,"187,00",23.02.2022,TÜRKÇE,224,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,13,0
Son Tatar,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Fransızca,Philippe Frey,BİLGE KÜLTÜR SANAT,5 / 5 (14 oy),96,7,0,9,"420,00",24.10.2013,TÜRKÇE,544,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,118,9
Gönül Avcısı,Kitap > Edebiyat > Roman (Çeviri),Samantha James,PEGASUS YAYINLARI,4 / 5 (21 oy),202,6,0,19,"299,00",27.03.2013,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,222,8
Mahşerde Bir HutbeBir İttihatçının İstibdata Karşı Söylevi,Kitap > Siyaset > Siyasal Tarih,Doktor Cemil,MAVİ GÖK YAYINLARI,5 / 5 (1 oy),51,1,0,4,"216,00",13.03.2024,TÜRKÇE,80,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,55,1
Tanrı ve Astronot,Kitap > Edebiyat > Roman (Yerli),Çayan Özvaran,ŞULE YAYINLARI - KAMPANYA,4 / 5 (5 oy),32,3,1,2,"280,00",30.10.2015,TÜRKÇE,214,Karton Kapak,12.5 x 21 cm,Kitap Kağıdı,37,2
ÇokkültürlülükGünümüzde Çeşitliliğin Siyasi Teorisi,Kitap > Siyaset > Araştırma-İnceleme,Andrew  Shorten,LEJAND,5 / 5 (2 oy),39,3,1,0,"299,00",15.08.2023,TÜRKÇE,320,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,231,1
Erkekler Hayvan mıdır?,Kitap > Kadın-Erkek > Erkek Kitapları,Matthew Gutmann,DESTEK YAYIN GRUBU-KAMPANYA,5 / 5 (1 oy),4,0,0,0,"280,00",14.09.2021,TÜRKÇE,328,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,7,0
Az Düşün Uzun Yaşa,Kitap > Kişisel Gelişim,Dr. Pia Callesen,YAKAMOZ YAYINCILIK,4 / 5 (10 oy),962,24,7,16,"200,00",15.12.2022,TÜRKÇE,176,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,1410,8
İletişim Çalışmaları,Kitap > Akademik > Eğitim Bilimleri,Serhat Ulağlı,MOTTO,5 / 5 (1 oy),47,2,0,2,"349,00",08.02.2023,TÜRKÇE,222,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,60,1
Bilim ve Modern Dünya,Kitap > Felsefe-Düşünce > Diğer,Alfred North Whitehead,SAY YAYIN GRUBU-KAMPANYA,4 / 5 (3 oy),175,5,2,3,"300,00",21.10.2022,TÜRKÇE,272,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,148,0
Altın Çan,Kitap > Edebiyat > Polisiye,Orhan T. Özdemir,URZENİ,5 / 5 (2 oy),20,2,1,1,"220,00",11.04.2019,TÜRKÇE,274,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,17,1
Eğlenceli Eğitimin Başucu Kitabı,Kitap > Eğitim > Çocuk Eğitimi,Nur Eda Kasap Süslü,HAYY KİTAP - KAMPANYA,5 / 5 (5 oy),52,3,2,4,"150,00",25.01.2021,TÜRKÇE,144,Karton Kapak,15.5 x 23 cm,Kitap Kağıdı,99,2
Aşk Kokulu Baharatlar,Kitap > Hobi > Yeme-İçme,Maria Ekmekçioğlu,İNKILAP KİTABEVİ-KAMPANYA,5 / 5 (1 oy),17,0,0,0,"640,00",16.01.2019,TÜRKÇE,160,Karton Kapak,21 x 22 cm,Kuşe Kağıt,32,0
Huysuz ve Tatlı,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Lauren Conrad,PEGASUS YAYINLARI,4 / 5 (5 oy),60,4,0,4,"269,00",11.09.2015,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,48,2
Oscar Pill 3 - Ölümsüzlerin Sırrı,Kitap > Edebiyat > Bilimkurgu-Fantazya > Kitap > Diğer > Gençlik Kitapları > Edebiyat > Kitap > Orijinal Dil > Fransızca,Eli Anderson,PEGASUS  ÇOCUK YAYINLARI,5 / 5 (8 oy),40,2,1,3,"295,00",06.03.2014,TÜRKÇE,608,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,39,4
"FuzuliHayatı, Eserleri, Şiiri",Kitap > Edebiyat > İnceleme,Mahmut Kaplan,LEJAND,5 / 5 (3 oy),75,5,0,2,"130,00",25.02.2021,TÜRKÇE,120,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,211,2
Alfred Kropp’un Olağanüstü Maceraları,Kitap > Edebiyat > Roman (Çeviri),Rick Yancey,PEGASUS  ÇOCUK YAYINLARI,4 / 5 (18 oy),223,18,1,9,"250,00",18.07.2017,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,122,8
Mars Tanrıları / John Carter II,Kitap > Edebiyat > Bilimkurgu-Fantazya,Edgar Rice Burroughs,FİHRİST KİTAP,5 / 5 (9 oy),102,20,1,10,"379,50",11.01.2023,TÜRKÇE,280,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,163,4
Algoritmaların Kara Kutusu Üzerine Düşünmekİletişim Çalışmaları Perspektifinden Kavramsal Tartışmalar,Kitap > Bilim & Mühendislik > Diğer,Elif Karakoç Keskin,SARMAL KİTABEVİ,Puan Yok,17,1,0,1,"240,00",15.02.2024,TÜRKÇE,271,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,38,0
Osmanlı ve Kapitalizm,Kitap > Başvuru Kitapları > Diğer,Süleyman Eryiğit,Mİ YAYINLARI,Puan Yok,16,0,0,0,"790,00",23.01.2024,TÜRKÇE,524,Karton Kapak,13 x 20 cm,Kitap Kağıdı,31,0
Babanzade Ahmed Naim Ailesi ve İlmi Kişiliği (Ciltli),Kitap > İslam > Tarih,Abdullah Çelik,DİVAN KİTAP,Puan Yok,25,0,0,0,"800,00",14.01.2023,TÜRKÇE,484,Ciltli,16 x 24 cm,Kitap Kağıdı,9,0
Mutlu EmpatHassas İnsanlar İçin Hayatta Kalma Rehberi,Kitap > Kişisel Gelişim,Christine Rose Elle,SAY YAYIN GRUBU-KAMPANYA,Puan Yok,36,2,0,1,"275,00",25.10.2023,TÜRKÇE,120,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,36,0
Hain / İhanet Üçlemesi 2,Kitap > Edebiyat > Roman (Çeviri),Ursula Poznanski,PEGASUS YAYINLARI,5 / 5 (13 oy),81,9,0,17,"299,00",17.04.2017,TÜRKÇE,408,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,146,6
Layemut,Kitap > Edebiyat > Roman (Yerli),Gökhan Yılmaz,MOTTO,1 / 5 (1 oy),15,3,0,1,"349,00",06.08.2020,TÜRKÇE,220,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,29,1
Güneş,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Catherine Fisher,PEGASUS  ÇOCUK YAYINLARI,4 / 5 (9 oy),116,7,1,14,"299,00",15.05.2014,TÜRKÇE,400,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,92,2
Normalleşme SancısıAçılım’dan Çözüm Sürecine Kürt Meselesi (2008 – 2015),Kitap > Siyaset > Aktüel Siyaset > Kitap > Siyaset > Etnik Sorunlar > Kitap > Siyaset > Araştırma-İnceleme,Taha Özhan,ÖZGÜR YAYINLARI KAMPANYA,4 / 5 (3 oy),29,2,0,3,"50,00",19.06.2015,TÜRKÇE,272,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,59,0
Kayıp Ağaçlar Adası,Kitap > Edebiyat > Roman (Yerli),Elif Şafak,DOĞAN KİTAP,5 / 5 (203 oy),3.787,276,45,476,"440,00",21.07.2023,TÜRKÇE,408,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,9353,141
Sazlar ve Çamur,Kitap > Edebiyat > Roman (Çeviri),Vicente Blasco Ibanez,DEDALUS KİTAP,5 / 5 (9 oy),125,11,0,8,"260,00",20.02.2023,TÜRKÇE,252,Karton Kapak,13 x 20 cm,Kitap Kağıdı,301,4
Bu Topraklarda Biyoloji Eğitiminin ve Biliminin Öyküsü,Kitap > Bilim & Mühendislik > Diğer,Ali Demirsoy,SARMAL KİTABEVİ,Puan Yok,57,2,0,2,"250,00",18.04.2023,TÜRKÇE,160,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,43,0
Kırık Kalpler Atölyesi,Kitap > Edebiyat > Deneme (Yerli),Bilal Civelek,YEDİVEREN YAYIN GRUBU - KAMPANYA,5 / 5 (2 oy),33,4,0,1,"195,00",11.11.2022,TÜRKÇE,240,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,34,0
Tarladan Turneye,Kitap > Edebiyat > Biyografi-Otobiyografi,İbrahim Koç,YEDİVEREN YAYIN GRUBU - KAMPANYA,Puan Yok,2,1,0,1,"233,00",26.10.2023,TÜRKÇE,264,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,15,0
Başlangıçta Eğitim Vardı !,Kitap > Eğitim > Rehber Kitaplar,Alice Miller,ARİON YAYINLARI,5 / 5 (34 oy),1.111,41,7,23,"480,00",09.08.2025,TÜRKÇE,326,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,778,18
Kısaca Paris,Kitap > Tarih > Araştırma-İnceleme,Eric Hazan,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (2 oy),93,9,0,3,"500,00",16.12.2022,TÜRKÇE,488,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,77,2
Pandora'nın Reçetesi,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,James Sheridan,PİNHAN YAYINCILIK-KAMPANYA,5 / 5 (26 oy),175,10,1,19,"670,00",24.04.2014,TÜRKÇE,480,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,188,14
Aşka Teslim,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Sophie Jordan,PEGASUS YAYINLARI,4 / 5 (46 oy),274,15,0,44,"269,00",12.02.2014,TÜRKÇE,304,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,369,14
Küresel Yer Markalaşması ve Türkiye,Kitap > Akademik > Siyaset İnceleme,Gözde Şahin,NET KİTAPLIK YAYINCILIK,5 / 5 (1 oy),12,0,0,0,"490,00",10.06.2022,TÜRKÇE,308,Karton Kapak,13 x 20 cm,Kitap Kağıdı,70,1
Hukuk Sosyolojisi,Kitap > Hukuk > Diğer > Kitap > Sosyoloji > Bilim,Max Weber,YARIN YAYINCILIK,4 / 5 (15 oy),340,17,1,5,"250,00",19.02.2016,TÜRKÇE,416,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,357,2
Her Dem Yeşil,Kitap > Edebiyat > Roman (Çeviri),Şim  Hun,FİHRİST KİTAP,5 / 5 (4 oy),100,6,0,2,"309,50",24.11.2022,TÜRKÇE,224,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,66,2
Hatırlasana,Kitap > Edebiyat > Roman (Yerli),Süleyman  Kurt,HAYY KİTAP - KAMPANYA,4 / 5 (51 oy),278,22,3,38,"150,00",02.04.2019,TÜRKÇE,136,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,514,17
Alevler,Kitap > Bilim & Mühendislik > Diğer,Olaf Stapledon,DEDALUS KİTAP,4 / 5 (4 oy),51,6,0,4,"140,00",23.06.2023,TÜRKÇE,94,Karton Kapak,13 x 20 cm,Kitap Kağıdı,166,1
Aforizmalar,Kitap > Edebiyat > Şiir (Çeviri),Oscar Wilde,SARMAL KİTABEVİ,Puan Yok,24,0,0,0,"190,00",28.03.2023,TÜRKÇE,168,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,22,0
Kadınlar Dünyayı Çalıyor SöylüyorKuramsal Yaklaşımlar ve Deneyimler Üzerine-2,Kitap > Akademik,Kolektif,DOĞU KİTABEVİ,Puan Yok,5,0,0,0,"507,00",18.01.2024,TÜRKÇE,184,Karton Kapak,16 x 23 cm,Kitap Kağıdı,98,0
Tanrıyla Monologlar,Kitap > İslam > Araştırma-İnceleme,Mustafa Akça,LEJAND,5 / 5 (2 oy),10,2,0,3,"98,00",18.11.2021,TÜRKÇE,70,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,166,1
Yürek Yüreğe,Kitap > Edebiyat > Şiir (Yerli),Fulya Uludağ,KUTLU YAYINEVİ,Puan Yok,1,0,0,0,"120,00",12.07.2017,TÜRKÇE,86,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,45,0
Kaçak Aşık,Kitap > Edebiyat > Roman (Çeviri),Elizabeth Hoyt,PEGASUS YAYINLARI,5 / 5 (23 oy),131,19,0,31,"299,00",14.01.2020,TÜRKÇE,352,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,391,14
Titreşimsel Ses Terapisi ile Şifa,Kitap > Kişisel Gelişim,Eileen Day McKusick,SAY YAYIN GRUBU-KAMPANYA,5 / 5 (1 oy),103,3,1,0,"400,00",13.02.2019,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,95,1
Harika Başlangıç,Kitap > Edebiyat > Roman (Çeviri),Christina Lauren,PEGASUS YAYINLARI,4 / 5 (9 oy),139,8,1,24,"249,00",25.08.2021,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,243,4
Suskun Kadın,Kitap > Edebiyat > Roman (Yerli),Ayşe Sökücü,TRUVA YAYINLARI,Puan Yok,5,0,0,3,"140,00",02.11.2021,TÜRKÇE,144,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,181,0
Resimdeki SözBalkan Naci İslimyeli'nin Yapıtına Bir Bakış,Kitap > Sanat > Resim,Nedret Öztokat Kılıçeri,SANAT KRİTİK YAYINCILIK,5 / 5 (2 oy),3,2,0,0,"1.550,00",29.04.2024,TÜRKÇE,192,Karton Kapak,16 x 24 cm,Kitap Kağıdı,95,0
Buyruğu Çiğnemek,Kitap > Edebiyat > Roman (Çeviri),Toson Şimazaki,FİHRİST KİTAP,5 / 5 (13 oy),76,11,1,9,"369,50",27.07.2022,TÜRKÇE,272,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,64,8
Karga Kız,Kitap > Edebiyat > Roman (Çeviri),Erik Axl Sund,PEGASUS YAYINLARI,4 / 5 (42 oy),331,37,4,48,"299,00",10.07.2018,TÜRKÇE,432,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,347,16
Belgesel Sinema Yazıları,Kitap > Sinema-Tiyatro > Senaryo (Yerli),Beril Ekşioğlu Sarılar,URZENİ,5 / 5 (1 oy),27,3,0,0,"270,00",16.11.2021,TÜRKÇE,257,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,29,0
Adım Adım Yaratıcı Yazarlık,Kitap > Başvuru Kitapları > Diğer,Can Akkiriş,DOĞU KİTABEVİ,4 / 5 (3 oy),68,4,1,1,"760,00",11.01.2023,TÜRKÇE,296,Karton Kapak,20 x 28 cm,Kitap Kağıdı,179,1
Hükümdar,Kitap > Edebiyat > Roman (Çeviri),Jean Gavr,TRUVA YAYINLARI,4 / 5 (7 oy),20,4,0,4,"460,00",14.09.2021,TÜRKÇE,592,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,29,1
Yeniden Büyük Amerika,Kitap > Siyaset > Bölgeler-Ülkeler,Donald J. Trump,PEGASUS YAYINLARI,4 / 5 (165 oy),560,106,12,80,"269,00",23.01.2017,TÜRKÇE,224,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2333,69
Yalnız Kitap,Kitap > Edebiyat > Roman (Yerli),Orhan Tüleylioğlu,DESTEK YAYIN GRUBU-KAMPANYA,Puan Yok,1,0,0,0,"200,00",20.06.2023,TÜRKÇE,240,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,2,0
SymzonyaBir Keşif Yolculuğu,Kitap > Edebiyat > Bilimkurgu-Fantazya,Adam  Seaborn,FİHRİST KİTAP,5 / 5 (6 oy),34,7,2,7,"229,50",09.03.2022,TÜRKÇE,152,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,31,3
Basra'nın Şiîleşmesi,Kitap > Tarih > Araştırma-İnceleme,Ali Rıza Işın,LEJAND,Puan Yok,31,6,0,0,"230,00",11.10.2021,TÜRKÇE,228,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,148,0
Şarap Barı Teorisi,Kitap > Kişisel Gelişim,David Gilbertson,PEGASUS YAYINLARI,4 / 5 (62 oy),362,56,2,44,"249,00",07.11.2016,TÜRKÇE,128,Karton Kapak,12 x 17.8 cm,Kitap Kağıdı,1610,24
Diriliş / Amnezi Serisi 3,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Edebiyat > Bilimkurgu-Fantazya,Jennifer Rush,PEGASUS YAYINLARI,5 / 5 (28 oy),186,29,0,46,"269,00",01.02.2017,TÜRKÇE,336,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,239,9
Ölüm UykusuSarıkamış Harekatı,Kitap > Tarih > Araştırma-İnceleme,Mehmet Işık,YEDİVEREN YAYIN GRUBU - KAMPANYA,5 / 5 (9 oy),52,0,0,8,"219,00",23.02.2021,TÜRKÇE,218,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,71,3
Yenilmiş Asilere Çiçek Verelim,Kitap > Edebiyat > Deneme (Yerli),Ahmet Özcan,YARIN YAYINCILIK,5 / 5 (3 oy),33,1,0,4,"210,50",17.12.2021,TÜRKÇE,229,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,53,1
Ben Çocukken,Kitap > Çocuk Kitapları > Hikaye,Müjdat Gezen,BİLGE KÜLTÜR SANAT,4 / 5 (19 oy),44,8,3,9,"120,00",01.01.2010,TÜRKÇE,72,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,200,3
Harika Piç,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,Christina Lauren,PEGASUS YAYINLARI,4 / 5 (144 oy),651,39,3,192,"299,00",25.08.2014,TÜRKÇE,320,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,1106,38
Atatürk Milliyetçiliği,Kitap > Siyaset > Mustafa Kemal Atatürk > Kitap > Siyaset > Araştırma-İnceleme,Eriş Ülger,SARMAL KİTABEVİ,Puan Yok,34,0,0,0,"220,00",15.12.2023,TÜRKÇE,208,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,41,0
Şeytan'ın Kitabı,Kitap > Edebiyat > Roman (Çeviri),Michael Cordy,BİLGE KÜLTÜR SANAT,5 / 5 (20 oy),146,10,2,26,"320,00",18.11.2011,TÜRKÇE,368,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,245,10
Basının Gözünden İstanbul Teknik Üniversite’ne Dair Kısa Notlar (1944-1955),Kitap > Başvuru Kitapları > Diğer,Cüneyd Okay,DOĞU KİTABEVİ,Puan Yok,7,0,0,0,"351,00",10.05.2023,TÜRKÇE,110,Karton Kapak,19 x 28 cm,Kitap Kağıdı,14,0
İletişim KuramlarıGüç ve Etki Dinamiklerini Çözmek,Kitap > Kişisel Gelişim,Aybike Serttaş Ertike,URZENİ,5 / 5 (1 oy),20,1,2,0,"420,00",31.08.2023,TÜRKÇE,466,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,30,0
Dominant,Kitap > Edebiyat > Roman (Çeviri),Tara Sue Me,PEGASUS YAYINLARI,4 / 5 (43 oy),204,16,1,47,"299,00",22.08.2016,TÜRKÇE,488,Karton Kapak,12 x 19 cm,Kitap Kağıdı,362,5
Bu Öyküler Bitmedi,Kitap > Edebiyat > Hikaye (Yerli),Duygu Değirmenci,BANLİYÖ KİTAP,5 / 5 (3 oy),9,1,0,2,"166,00",10.06.2022,TÜRKÇE,160,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,199,2
Göçler ve Efsaneler / Kibele öyküleri 2,Kitap > Diğer > Mitoloji,Önder Kayhan,URZENİ,5 / 5 (3 oy),57,4,0,2,"240,00",22.01.2024,TÜRKÇE,210,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,21,1
ToscaOpera Klasikleri: 04,Kitap > Sanat > Diğer,Giacomo Puccini,FİHRİST KİTAP,5 / 5 (4 oy),30,4,1,2,"209,50",05.02.2024,TÜRKÇE,134,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,93,2
Mola,Kitap > Edebiyat > Roman (Yerli),Yaman Koray,DEDALUS KİTAP,5 / 5 (3 oy),30,2,0,4,"300,00",12.08.2022,TÜRKÇE,296,Karton Kapak,13 x 20 cm,Kitap Kağıdı,316,1
Evanjelizm ve Yeni Dünya Düzeni,Kitap > Felsefe-Düşünce > Diğer,Elif Arat Yıldız,URZENİ,4 / 5 (4 oy),63,5,0,4,"240,00",05.02.2019,TÜRKÇE,180,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,95,1
Bedenim,Kitap > Edebiyat > Biyografi-Otobiyografi,Emily Ratajkowski,DESTEK YAYIN GRUBU-KAMPANYA,Puan Yok,8,0,0,0,"230,00",17.11.2022,TÜRKÇE,216,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5,0
Axolotl,Kitap > Edebiyat > Roman (Çeviri),Helena Hegemann,PEGASUS YAYINLARI,3 / 5 (54 oy),380,53,5,49,"249,00",17.10.2012,TÜRKÇE,208,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,1456,27
Gaspıralı İsmail Bey,Kitap > Siyaset > Biyografi-Otobiyografi,Cafer Seydahmed Kırımer,BİYOGRAFİ.NET,5 / 5 (1 oy),73,1,0,0,"300,00",06.12.2021,TÜRKÇE,272,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,98,1
Türkiye’de Halk Ağzından Derleme Sözlüğünün Ters Dizimi,Kitap > Başvuru Kitapları > Sözlük & İmla Kılavuzu,Dr. Ali Cin,ŞULE YAYINLARI - KAMPANYA,5 / 5 (1 oy),21,2,0,0,"840,00",05.10.2017,TÜRKÇE,711,Karton Kapak,16 x 24 cm,Kitap Kağıdı,19,0
Çocukluğumun Ak Saçları12 Eylül 1980’e  Yan Bakanlar,Kitap > Edebiyat > Anı (Hatırat),Billur C. Yılmazyiğit,URZENİ,5 / 5 (1 oy),14,3,0,1,"220,00",22.05.2019,TÜRKÇE,202,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,9,1
Kurt ve Kız,Kitap > Edebiyat > Roman (Yerli),Burçin Ergin,YEDİVEREN YAYIN GRUBU - KAMPANYA,Puan Yok,9,2,0,0,"150,00",16.10.2023,TÜRKÇE,160,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,10,0
