Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
CihadcılıkEfsaneler Gerçekler,Kitap > Siyaset > Bölgeler-Ülkeler > Kitap > Siyaset > Araştırma-İnceleme,Kolektif,METİS YAYINLARI,4 / 5 (13 oy),115,12,2,7,"316,00",24.02.2017,TÜRKÇE,304,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,127,7
"Türkiye’de “Caz Yapmak”Meşrulaşma, Hakim Anlatılar ve Yapısöküm",Kitap > Başvuru Kitapları > Diğer,Selim Tan,DOĞU KİTABEVİ,5 / 5 (2 oy),19,1,0,1,"211,00",17.04.2024,TÜRKÇE,176,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,66,1
Patates ve Diğer Öyküler,Kitap > Edebiyat > Hikaye (Çeviri),Kim Dong-in,FİHRİST KİTAP,5 / 5 (4 oy),81,8,1,2,"239,50",12.12.2022,TÜRKÇE,162,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,62,1
Muhteşem Olma Bilimi,Kitap > Kişisel Gelişim,Wallace D. Wattles,LİBERUS,Puan Yok,40,3,0,1,"140,00",23.06.2023,TÜRKÇE,98,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,178,0
Ya Evvel Ya Ahir,Kitap > İslam > Diğer,Lütfiye Luna,FENİKS KİTAP KAMPANYA,Puan Yok,15,1,0,3,"150,00",21.01.2019,TÜRKÇE,Bilgi Yok,Karton Kapak,14 x 21 cm,Kitap Kağıdı,75,0
Hakuran Kafesinde Bir Gözlemci,Kitap > Edebiyat > Hikaye (Yerli),Öznur Babur,FİHRİST KİTAP,4 / 5 (3 oy),19,6,1,3,"224,50",24.07.2023,TÜRKÇE,150,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,18,1
Yunus Emre ile 7 Altın KuralAkın'ın Unutulmaz Yaz Tatili,Kitap > Çocuk Kitapları > Hikaye,Fatma Tutak,KENT KARDEŞ,5 / 5 (1 oy),6,0,0,0,"165,00",08.06.2024,TÜRKÇE,147,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,92,0
Bir AndaYüreğim Sana Emanet,Kitap > Edebiyat > Roman (Yerli),Filiz Yurtseven,URZENİ,Puan Yok,16,1,0,2,"200,00",22.12.2020,TÜRKÇE,198,Karton Kapak,13 x 20 cm,Kitap Kağıdı,89,0
Mühürlü Melek,Kitap > Edebiyat > Roman (Çeviri),Nikolay Semyonoviç Leskov,DEDALUS KİTAP,5 / 5 (3 oy),62,4,0,3,"140,00",07.10.2022,TÜRKÇE,108,Karton Kapak,13 x 20 cm,Kitap Kağıdı,429,1
Toplumsal İletişim Dili Olarak Kimlikler,Kitap > Akademik > Sosyoloji İnceleme,Serhat Ulağlı,MOTTO,3 / 5 (1 oy),61,2,0,1,"351,00",26.04.2023,TÜRKÇE,240,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,82,1
