Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Sayfa Sayısı,Toplam Satılma Sayısı,Toplam Yorum Sayısı,Puan,Oy_Sayisi,Yayin_Yili,En,Boy,Yazar_Kitap_Sayisi,Yayınevi_DESTEK YAYIN GRUBU-KAMPANYA,Yayınevi_Diğer,Yayınevi_EPONA KİTAP,Yayınevi_FİHRİST KİTAP,Yayınevi_HAYY KİTAP - KAMPANYA,Yayınevi_PEGASUS YAYINLARI,Yayınevi_SARMAL KİTABEVİ,Yayınevi_SAY YAYIN GRUBU-KAMPANYA,Yayınevi_URZENİ,Yayınevi_YEDİVEREN YAYIN GRUBU - KAMPANYA,Ana_Kategori_Diğer,Ana_Kategori_Edebiyat,Ana_Kategori_Felsefe-Düşünce,Ana_Kategori_Kişisel Gelişim,Ana_Kategori_Siyaset,Ana_Kategori_Sosyoloji,Ana_Kategori_Tarih,Ana_Kategori_Çocuk Kitapları,Ana_Kategori_İslam
0.1485319516407599,0.1276595744680851,0.1276595744680851,0.6150537634408602,0.3129251700680272,0.21599169262720663,0.16,0.6000000000000001,0.17543859649122806,0.8974358974358978,0.625,0.625,0.8000000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6044905008635578,0.1702127659574468,0.1276595744680851,0.9999999999999999,1.0,0.20353063343717548,0.08,1.0,0.14035087719298245,0.7435897435897516,1.0,0.958333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07253886010362694,0.0851063829787234,0.0,0.2946236559139785,0.3401360544217687,0.024922118380062305,0.0,0.0,0.0,0.8461538461538538,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.33160621761658027,0.2978723404255319,0.3829787234042553,0.7956989247311828,0.8843537414965985,0.24299065420560745,0.72,1.0,0.49122807017543857,0.3846153846153868,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.697754749568221,0.2553191489361702,0.8085106382978723,0.535483870967742,0.5306122448979591,0.45898234683281414,0.64,0.6000000000000001,0.7368421052631579,0.3846153846153868,0.625,0.625,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17616580310880828,0.0425531914893617,0.1702127659574468,0.35698924731182796,0.09523809523809523,0.11214953271028037,0.08,1.0,0.03508771929824561,0.948717948717956,0.375,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.11053540587219343,0.1276595744680851,0.0851063829787234,0.4946236559139785,0.32312925170068024,0.07476635514018692,0.16,0.6000000000000001,0.17543859649122806,0.487179487179489,0.125,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13471502590673576,0.1276595744680851,0.0,0.535483870967742,0.5034013605442176,0.47767393561786087,0.08,1.0,0.07017543859649122,0.8974358974358978,0.375,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.013816925734024179,0.0,0.0,0.4946236559139785,0.5170068027210883,0.012461059190031154,0.0,1.0,0.03508771929824561,0.7948717948717956,0.625,0.625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.6808510638297872,0.3225806451612903,0.2585034013605442,0.9999999999999999,0.64,0.6000000000000001,0.3508771929824561,0.8461538461538538,0.625,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.1623488773747841,0.0851063829787234,0.0851063829787234,0.643010752688172,0.336734693877551,0.122533748701973,0.08,1.0,0.03508771929824561,0.8974358974358978,0.625,0.375,0.8000000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6044905008635578,0.2127659574468085,0.1276595744680851,0.5376344086021505,0.42176870748299317,0.3052959501557633,0.0,0.6000000000000001,0.10526315789473684,0.8461538461538538,0.625,0.625,0.8000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0690846286701209,0.0851063829787234,0.0425531914893617,0.3655913978494624,0.42517006802721086,0.033229491173416406,0.08,1.0,0.07017543859649122,0.6923076923076934,0.625,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17962003454231432,0.1276595744680851,0.1702127659574468,0.2150537634408602,0.20408163265306123,0.20353063343717548,0.16,1.0,0.17543859649122806,0.7948717948717956,1.0,0.958333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05872193436960276,0.0,0.0,0.9999999999999999,0.2312925170068027,0.06438213914849429,0.0,1.0,0.03508771929824561,0.6923076923076934,1.0,0.7916666666666665,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20725388601036268,0.1702127659574468,0.1702127659574468,0.47096774193548385,0.4489795918367347,0.0976116303219107,0.16,0.6000000000000001,0.17543859649122806,0.487179487179489,0.625,0.625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1381692573402418,0.0851063829787234,0.1276595744680851,0.5268817204301075,0.9931972789115646,0.07892004153686397,0.32,1.0,0.2807017543859649,0.435897435897445,0.625,0.625,0.8000000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25906735751295334,0.2127659574468085,0.0851063829787234,0.17204301075268813,0.163265306122449,0.43613707165109034,0.16,1.0,0.10526315789473684,0.7948717948717956,0.375,0.375,0.8000000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.770293609671848,0.7659574468085106,0.3829787234042553,0.4301075268817204,0.5306122448979591,0.2512980269989616,0.64,0.6000000000000001,0.631578947368421,0.5897435897435912,0.625,0.625,0.8000000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
