Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Kumarbaz,Kitap > Edebiyat > Roman (Çeviri),Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK,5 / 5 (105 oy),4.001,183,20,358,"30,00",24.11.2021,TÜRKÇE,184,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,11833,57
Kalbin ŞifasıHayatın Zincirlerinden Kurtulmaya Dair İçgörüler,Kitap > İslam > Tasavvuf,Yasmin  Mogahed,TİMAŞ YAYINLARI,5 / 5 (30 oy),1.663,66,3,68,"275,00",07.05.2024,TÜRKÇE,224,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2897,18
İçimdeki Müzik,Kitap > Diğer > Gençlik Kitapları > Edebiyat,Sharon M. Draper,TİMAŞ GENÇ,5 / 5 (2753 oy),20.652,1.596,210,4.055,"250,00",10.02.2020,TÜRKÇE,256,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,79813,1.441
Çizgili Pijamalı Çocuk,Kitap > Çocuk Kitapları > Roman > Kitap > Orijinal Dil > İngilizce,John Boyne,TUDEM YAYINEVİ,5 / 5 (2755 oy),24.844,1.653,145,3.600,"330,00",05.03.2016,TÜRKÇE,208,Karton Kapak,13 x 18 cm,Kitap Kağıdı,54423,1.380
Balyanaklar İçin Mahremiyet Kitabı,Kitap > Çocuk Kitapları > Hikaye,Doç. Dr. Saniye Bencik Kangal,TURTA KİTAP,5 / 5 (64 oy),1.824,71,4,149,"169,00",14.03.2024,TÜRKÇE,32,Karton Kapak,19 x 24 cm,Kitap Kağıdı,5574,48
Hayat En Çok İyileri KırarKırıldığımız Yerden Güçlenmenin Yolları,Kitap > Kişisel Gelişim,Prof.Dr. Acar Baltaş,KRONİK KİTAP,5 / 5 (87 oy),2.016,133,21,106,"295,00",09.08.2025,TÜRKÇE,320,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5994,47
Sadako / ve Kağıttan Bin Turna Kuşu,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal",Eleanor Coerr,BEYAZ BALİNA YAYINLARI,5 / 5 (1524 oy),475,21,3,78,"160,00",01.12.2010,TÜRKÇE,96,Karton Kapak,14 x 21.5 cm,Kitap Kağıdı,38549,710
İyot Giren Eve Doktor Girmez,Kitap > Sağlık-Tıp > Diğer,Dr. Hasan Hüsnü Eren,HAYY KİTAP,5 / 5 (30 oy),867,70,10,45,"350,00",11.10.2024,TÜRKÇE,312,Karton Kapak,15.5 x 23 cm,Kitap Kağıdı,2845,17
Anna Karenina (Ciltsiz),Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Rusça,Lev N. Tolstoy,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,5 / 5 (2073 oy),21.838,1.921,197,2.074,"350,00",21.08.2023,TÜRKÇE,1062,Karton Kapak,12.5 x 20.5 cm,Kitap Kağıdı,21407,913
Hayat Acemileri İçin Yaşam RehberiGüçlü Bir Psikolojiye Sahip Olmanın Yolları,Kitap > Kişisel Gelişim,Beyhan Budak,KRONİK KİTAP,5 / 5 (160 oy),5.468,328,53,230,"245,00",23.07.2025,TÜRKÇE,224,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,10890,110
