Kitap Adı,Kitabın kategorisi,Kitap Yazarı,Yayınevi,100 Üzerinden Aldığı Puan,Favorilere Ekleyen Kişi Sayısı,Okuyacağım olarak işaretlenmiş sayısı,Okuyorum olarak işaretlenmiş sayısı,Okudum olarak işaretlenmiş sayısı,Liste Fiyatı,Yayın Tarihi,Dil,Sayfa Sayısı,Cilt Tipi,Boyut,Kağıt Cinsi,Toplam Satılma Sayısı,Toplam Yorum Sayısı
Kurt Kanunu,Kitap > Edebiyat > Roman (Yerli),Kemal Tahir,KETEBE YAYINEVİ,5 / 5 (132 oy),3.655,177,19,183,"300,00",08.12.2022,TÜRKÇE,304,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5230,55
Robi Çıldırdı,Kitap > Çocuk Kitapları > Roman,Faruk Yıldız,ERDEM ÇOCUK YAYINLARI,5 / 5 (27 oy),431,30,6,63,"150,00",20.05.2022,TÜRKÇE,144,Karton Kapak,12.5 x 21 cm,Kitap Kağıdı,4406,12
Vatan Yahut Silistre,Kitap > Çocuk Kitapları > 100 Temel Eser > Kitap > Edebiyat > Hikaye (Yerli),Namık Kemal,KAPRA YAYINCILIK,5 / 5 (87 oy),2.320,117,11,199,"20,00",16.04.2021,TÜRKÇE,87,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,7109,43
Merhamet Kalbimde İyilik Her Yerde,Kitap > Çocuk Kitapları > Hikaye,Doç. Dr. Saniye Bencik Kangal,TURTA KİTAP,5 / 5 (13 oy),1.042,58,14,47,"169,00",29.05.2025,TÜRKÇE,32,Karton Kapak,19 x 24 cm,Kuşe Kağıt,2237,9
Toprak Ana,Kitap > Edebiyat > Roman (Yerli),Cengiz Aytmatov,ÖTÜKEN NEŞRİYAT,5 / 5 (4550 oy),15.764,1.614,156,5.416,"60,00",11.01.2023,TÜRKÇE,136,Karton Kapak,12 x 19.5 cm,Kitap Kağıdı,52087,2.258
İnsanlığın Dirilişi,Kitap > İslam > Günümüz İslam Düşüncesi > Kitap > Felsefe-Düşünce > Genel,Sezai Karakoç,DİRİLİŞ YAYINLARI,5 / 5 (1212 oy),7.562,840,110,1.227,"130,00",01.05.2011,TÜRKÇE,160,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,29133,409
İyileştir KalbiniDuygusal ve Manevi İyilik Rehberi,Kitap > Kişisel Gelişim,Yasmin  Mogahed,TİMAŞ YAYINLARI,5 / 5 (118 oy),4.648,197,35,203,"325,00",22.07.2024,TÜRKÇE,288,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,7419,81
Kaybolduysan Doğru Yerdesin,Kitap > Kişisel Gelişim,Saadet Şen,DESTEK YAYINLARI,5 / 5 (12 oy),948,52,5,18,"260,00",28.07.2025,TÜRKÇE,216,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2265,9
Mobius,Kitap > Edebiyat > Roman (Çeviri),Adam Fawer,APRIL YAYINCILIK,4 / 5 (97 oy),2.476,193,23,172,"390,00",10.10.2024,TÜRKÇE,520,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,4696,62
Hayatı Yeniden Keşfedin,Kitap > Kişisel Gelişim,Jeffrey E. Young,PSİKONET YAYINLARI,5 / 5 (793 oy),14.864,833,199,792,"600,00",01.12.2014,TÜRKÇE,456,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,31834,382
Kınalı Serçe,Kitap > Çocuk Kitapları > Roman,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,5 / 5 (188 oy),4.410,371,43,339,"295,00",27.01.2025,TÜRKÇE,152,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,15498,127
Namazın Sırları ve Fazileti,Kitap > İslam > Kültür > Kitap > Orijinal Dil > Arapça,İmam Gazali,ÇELİK YAYINEVİ,5 / 5 (164 oy),6.715,241,53,214,"320,00",02.06.2020,TÜRKÇE,344,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,7776,82
Harry Potter ve Azkaban Tutsağı,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Çocuk Kitapları > 12+ Yaş > Hikaye, Roman & Masal > Kitap > Diğer > Gençlik Kitapları > Edebiyat > Kitap > Orijinal Dil > İngilizce",J. K. Rowling,YAPI KREDİ YAYINLARI,5 / 5 (2473 oy),9.497,1.003,164,3.798,"360,00",30.06.2022,TÜRKÇE,396,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,35253,1.034
Melodi,Kitap > Çocuk Kitapları > Hikaye,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (337 oy),2.482,170,16,575,"125,00",22.09.2023,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,15531,167
Kalplerin Keşfi / Mukaşefetü'l Kulüp (Ciltsiz),Kitap > İslam > Tasavvuf,İmam Gazali,ÇELİK YAYINEVİ,5 / 5 (686 oy),12.162,904,279,681,"290,00",11.04.2019,TÜRKÇE,582,Karton Kapak,15 x 22 cm,Kitap Kağıdı,23448,366
Kuyucaklı Yusuf,Kitap > Edebiyat > Roman (Yerli) > Kitap > Edebiyat > 100 Temel Eser,Sabahattin Ali,KAPRA YAYINCILIK,5 / 5 (136 oy),2.232,144,18,438,"30,00",13.01.2021,TÜRKÇE,248,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,11124,77
Robonlar 2 / Bir Hayal Operasyonu,Kitap > Çocuk Kitapları > Roman,Mert Arık,TİMAŞ İLK GENÇ,5 / 5 (65 oy),1.024,86,10,53,"145,00",06.08.2025,TÜRKÇE,144,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,5426,38
Nietzsche Ağladığında,Kitap > Edebiyat > Roman (Çeviri),Irvin D. Yalom,AYRINTI YAYINLARI,5 / 5 (61 oy),5.457,180,16,311,"350,00",05.11.2024,TÜRKÇE,416,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,4412,47
Semerkant,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Fransızca,Amin Maalouf,YAPI KREDİ YAYINLARI,5 / 5 (6237 oy),38.727,3.110,339,9.123,"220,00",23.09.2021,TÜRKÇE,318,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,85052,3.573
Beyaz Gemi,Kitap > Edebiyat > Hikaye (Çeviri) > Kitap > Edebiyat > 100 Temel Eser,Cengiz Aytmatov,ÖTÜKEN NEŞRİYAT,5 / 5 (5275 oy),17.544,2.048,273,6.568,"70,00",09.10.2023,TÜRKÇE,168,Karton Kapak,12 x 19.5 cm,Kitap Kağıdı,72851,2.406
Tutunamayanlar / Bütün Eserleri 1,Kitap > Edebiyat > Roman (Yerli),Oğuz Atay,İLETİŞİM YAYINLARI,5 / 5 (5883 oy),53.930,6.745,1.022,6.208,"560,00",08.08.2023,TÜRKÇE,724,Karton Kapak,13 x 19 cm,Kitap Kağıdı,79586,2.689
Kaplanın Sırtında,Kitap > Edebiyat > Roman (Yerli),Zülfü Livaneli,İNKILAP KİTABEVİ,5 / 5 (255 oy),9.027,397,67,843,"415,00",09.01.2023,TÜRKÇE,324,Karton Kapak,13.7 x 23 cm,Kitap Kağıdı,16708,186
Anadolu Yakası,Kitap > Edebiyat > Hikaye (Yerli),Mustafa Kutlu,DERGAH YAYINLARI,5 / 5 (247 oy),1.864,95,6,215,"250,00",18.06.2012,TÜRKÇE,207,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,3004,104
Kalk Bi Dopamin Demle,Kitap > Bilim & Mühendislik > Popüler Bilim,Serkan Karaismailoğlu,ORTAPİA,5 / 5 (293 oy),7.933,545,100,604,"195,00",14.08.2024,TÜRKÇE,152,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,18063,202
Çiçeklenmeler,Kitap > Edebiyat > Hikaye (Yerli),Melisa Kesmez,İLETİŞİM YAYINLARI,5 / 5 (63 oy),2.309,104,9,144,"185,00",12.09.2025,TÜRKÇE,113,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,4162,37
Yırtıcı Kuşlar Zamanı,Kitap > Edebiyat > Roman (Yerli),Ahmet Ümit,YAPI KREDİ YAYINLARI,5 / 5 (459 oy),10.954,918,107,1.122,"360,00",02.10.2024,TÜRKÇE,448,Karton Kapak,13.5 x 23 cm,Kitap Kağıdı,24869,347
"Hayatın Hakkını VermekSağlıklı, Uzun ve Mutlu Yaşamak",Kitap > Psikoloji,Prof.Dr. Acar Baltaş,DOĞAN KİTAP,5 / 5 (77 oy),3.629,186,13,89,"240,00",02.12.2020,TÜRKÇE,344,Karton Kapak,13.6 x 21 cm,Kitap Kağıdı,6620,37
Sokrates’in Savunması,Kitap > Edebiyat > 100 Temel Eser,Platon (Eflatun),KAPRA YAYINCILIK,5 / 5 (164 oy),5.645,236,24,434,"30,00",21.12.2020,TÜRKÇE,56,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,12084,86
Cennetin Doğusu,Kitap > Edebiyat > Roman (Çeviri),John Steinbeck,İLETİŞİM YAYINLARI,5 / 5 (94 oy),6.514,256,31,188,"595,00",16.06.2021,TÜRKÇE,644,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,4509,54
Sarı Yüz,Kitap > Edebiyat > Roman (Çeviri),R. F. Kuang,İTHAKİ YAYINLARI,4 / 5 (152 oy),7.269,518,61,360,"275,00",07.05.2025,TÜRKÇE,304,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,12431,112
Çözüm Bakanlığı,Kitap > Edebiyat > Diğer,Sanne Rooseboom,CAN ÇOCUK YAYINLARI,5 / 5 (101 oy),1.460,112,19,193,"250,00",29.08.2024,TÜRKÇE,200,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,7707,54
İyileşme Zamanı,Kitap > Edebiyat > Roman (Yerli),Funda Uçuk Er,HAYY KİTAP,5 / 5 (109 oy),2.729,136,12,238,"325,00",09.11.2023,TÜRKÇE,240,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,6407,76
Kainatın Efendisi Peygamberimizin Hayatı (Tek Cilt),Kitap > İslam > Siyer,Salih Suruç,NESİL YAYINLARI,5 / 5 (647 oy),5.376,439,181,515,"590,00",02.08.2022,TÜRKÇE,848,Ciltli,16.5 x 24 cm,Şamuha Kağıt,17537,346
Huzur,Kitap > Edebiyat > Roman (Yerli),Ahmet Hamdi Tanpınar,DERGAH YAYINLARI,5 / 5 (31 oy),2.938,101,12,83,"420,00",20.11.2023,TÜRKÇE,384,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,2773,12
Neden İslam’ın Orta Çağı Yoktu?Antik Çağ’ın Mirası ve Doğu,Kitap > Tarih > Araştırma-İnceleme,Thomas Bauer,RUNİK KİTAP,5 / 5 (260 oy),4.730,376,41,239,"150,00",26.04.2021,TÜRKÇE,162,Karton Kapak,12.5 x 20.5 cm,Kitap Kağıdı,8425,97
Peygamberliğin İspatıHaber Delili,Kitap > İslam > Kültür,Altay Cem Meriç,İNSAN YAYINLARI,5 / 5 (418 oy),6.503,847,195,552,"460,00",24.07.2024,TÜRKÇE,519,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,18040,267
EneSus Ey Nefsim!,Kitap > Edebiyat > Roman (Yerli),Fatih Duman,NESİL YAYINLARI,5 / 5 (1282 oy),5.601,496,79,1.523,"260,00",02.08.2022,TÜRKÇE,256,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,21993,791
Bakışınızı Değiştirecek 10 Deney: İnsan,Kitap > Psikoloji > İnceleme,Prof. Dr.  Selçuk Şirin,MUNDİ,5 / 5 (49 oy),1.584,76,13,75,"250,00",05.11.2024,TÜRKÇE,128,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,3791,31
Gece Yarısı Kütüphanesi,Kitap > Edebiyat > Roman (Çeviri),Matt Haig,DOMİNGO YAYINEVİ,5 / 5 (2915 oy),51.394,4.678,683,8.053,"295,00",22.07.2025,TÜRKÇE,283,Karton Kapak,14 x 21 cm,Kitap Kağıdı,122741,1.976
Saatleri Ayarlama Enstitüsü,Kitap > Edebiyat > Roman (Yerli),Ahmet Hamdi Tanpınar,DERGAH YAYINLARI,5 / 5 (6176 oy),62.082,6.126,691,7.523,"400,00",07.11.2024,TÜRKÇE,344,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,92811,2.916
Robonlar / Bir Kaçış Operasyonu,Kitap > Çocuk Kitapları > Roman,Mert Arık,TİMAŞ İLK GENÇ,5 / 5 (253 oy),3.852,345,60,466,"125,00",08.11.2024,TÜRKÇE,112,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,26008,147
Öteki,Kitap > Edebiyat > Roman (Çeviri),Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK,5 / 5 (84 oy),2.598,136,13,155,"30,00",24.11.2021,TÜRKÇE,167,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,6377,47
Ölüm Bir Varmış Bir Yokmuş,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Portekizce,Jose Saramago,KIRMIZI KEDİ YAYINEVİ,5 / 5 (1928 oy),12.848,1.137,126,1.911,"330,00",16.04.2025,TÜRKÇE,208,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,24460,957
Gökyüzünde Nehirler Var,Kitap > Edebiyat > Roman (Yerli),Elif Şafak,DOĞAN KİTAP,5 / 5 (18 oy),1.529,106,13,33,"475,00",13.08.2025,TÜRKÇE,560,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,2290,10
Güneşi Bile Tamir Eden Adam,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal",Behiç Ak,GÜNIŞIĞI KİTAPLIĞI,5 / 5 (489 oy),3.583,216,20,625,"245,00",31.10.2024,TÜRKÇE,68,Karton Kapak,13 x 19.5 cm,Kuşe Kağıt,26540,217
Düşünmenin Doğru Ölçüsüel-Kıstasü’l-Müstakîm,Kitap > İslam > Tasavvuf,İmam Gazali,KETEBE YAYINEVİ,5 / 5 (84 oy),3.938,145,20,101,"119,00",06.10.2023,TÜRKÇE,120,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5182,40
Göğe Tırmanan Çocuk,Kitap > Çocuk Kitapları > Hikaye,Ali Standish,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (147 oy),1.971,102,15,273,"140,00",07.02.2022,TÜRKÇE,96,Karton Kapak,12.5 x 19.5 cm,1. Hm. Kağıt,9332,81
Eşekli Kütüphaneci,Kitap > Edebiyat > Roman (Yerli),Fakir Baykurt,LİTERATÜR YAYINLARI,5 / 5 (726 oy),6.860,412,43,1.101,"200,00",06.03.2024,TÜRKÇE,148,Karton Kapak,13.5 x 21.5 cm,Kitap Kağıdı,15112,430
El Kızı,Kitap > Edebiyat > Roman (Yerli),Orhan Kemal,EVEREST YAYINLARI,5 / 5 (274 oy),11.660,460,44,547,"475,00",21.01.2025,TÜRKÇE,400,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,12425,209
Bilinçaltının GücüZihinsel ve Bedensel İyileşme,Kitap > Psikoloji > Yaklaşımlar,Joseph Murphy,DİYOJEN YAYINCILIK,5 / 5 (317 oy),15.273,619,117,786,"228,00",01.01.2020,TÜRKÇE,286,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,26255,185
Anne Terliği,Kitap > Çocuk Kitapları > Hikaye,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (204 oy),4.796,422,73,444,"165,00",13.01.2025,TÜRKÇE,128,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,21464,129
Yedi Ayet Yedi ŞahsiyetFatiha Suresi Tefsiri,Kitap > İslam > Tefsir-Meal > Kitap > İslam > Araştırma-İnceleme,Yasin Pişgin,TİMAŞ YAYINLARI,5 / 5 (87 oy),3.300,169,23,98,"325,00",08.10.2024,TÜRKÇE,304,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,4323,44
Yankılı Kayalar,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Çocuk Kitapları > 100 Temel Eser",Ahmet Yılmaz Boyunağa,TİMAŞ İLK GENÇ,5 / 5 (845 oy),2.402,305,41,803,"120,00",18.07.2025,TÜRKÇE,112,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,35390,327
Charlie'nin Çikolata Fabrikası (Ciltsiz),"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Orijinal Dil > İngilizce",Roald Dahl,CAN ÇOCUK YAYINLARI,5 / 5 (2463 oy),10.269,988,101,2.551,"275,00",14.01.2022,TÜRKÇE,208,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,65786,1.054
Martıya Uçmayı Öğreten Kedi,"Kitap > Çocuk Kitapları > 6-12 Yaş > Hikaye, Roman & Masal > Kitap > Orijinal Dil > İspanyolca",Luis Sepulveda,CAN ÇOCUK YAYINLARI,5 / 5 (993 oy),6.718,529,59,1.228,"220,00",24.09.2021,TÜRKÇE,128,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,44826,411
Sevme Sanatı / Bir Eylem Olarak Sevmek (Modern Kapak),Kitap > Edebiyat > Roman (Çeviri),Erich Fromm,SAY YAYINLARI,5 / 5 (233 oy),7.070,324,43,432,"300,00",18.10.2023,TÜRKÇE,200,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,12248,112
Toprak Ana,Kitap > Edebiyat > Roman (Çeviri),Cengiz Aytmatov,KETEBE YAYINEVİ,5 / 5 (256 oy),3.827,275,21,646,"68,00",02.06.2021,TÜRKÇE,148,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,10512,134
Kürk Mantolu Madonna,Kitap > Edebiyat > Roman (Yerli),Sabahattin Ali,YAPI KREDİ YAYINLARI,5 / 5 (24321 oy),47.115,5.926,1.152,35.658,"45,00",15.08.2023,TÜRKÇE,160,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,227047,12.636
Siddhartha (Ciltsiz),Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Almanca,Hermann Hesse,CAN YAYINLARI,5 / 5 (3357 oy),18.253,1.857,162,4.310,"230,00",28.06.2019,TÜRKÇE,152,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,44876,1.571
Trend Takipçisi,Kitap > Ekonomi > Araştırma-İnceleme,Michael W. Covel,SCALA YAYINCILIK,4 / 5 (88 oy),2.179,125,16,99,"550,00",22.03.2024,TÜRKÇE,514,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5414,51
Doğu ve Batı (Ciltli)Mezopotamya: Yunan Sanatının Kaynağı,Kitap > Sanat > Sanat Tarihi,Ekrem Akurgal,KRONİK KİTAP,5 / 5 (32 oy),2.147,115,5,19,"745,00",29.08.2025,TÜRKÇE,256,Ciltli,19 x 21 cm,Kuşe Kağıt,1824,15
Çavdar Tarlasında Çocuklar,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > İngilizce,J. D. Salinger,YAPI KREDİ YAYINLARI,4 / 5 (6092 oy),38.221,3.295,325,8.563,"140,00",20.08.2019,TÜRKÇE,198,Karton Kapak,13.5 x 21 cm,3. Hm. Kağıt,82691,2.669
Kendini Aldatan İnsan,Kitap > İslam > Tasavvuf,İmam Gazali,KETEBE YAYINEVİ,5 / 5 (139 oy),4.544,207,40,156,"109,00",03.11.2022,TÜRKÇE,80,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,6560,65
Çalınan Dikkat,Kitap > Psikoloji > İnceleme,Johann Hari,METİS YAYINLARI,5 / 5 (310 oy),11.966,625,87,482,"368,00",15.03.2024,TÜRKÇE,320,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,17370,167
İnce Memed 1,Kitap > Edebiyat > Roman (Yerli),Yaşar Kemal,YAPI KREDİ YAYINLARI,5 / 5 (4288 oy),31.773,2.934,364,6.166,"400,00",27.12.2021,TÜRKÇE,436,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,68752,2.366
İnce Memed 4,Kitap > Edebiyat > Roman (Yerli),Yaşar Kemal,YAPI KREDİ YAYINLARI,5 / 5 (1687 oy),16.507,1.439,109,2.242,"550,00",27.02.2020,TÜRKÇE,639,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,31079,719
Ya Baki Entel Baki,Kitap > İslam > Araştırma-İnceleme,Mehmet  Yıldız,TİMAŞ YAYINLARI,5 / 5 (90 oy),3.087,255,33,125,"275,00",05.04.2023,TÜRKÇE,224,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,9057,65
Pia Mater,Kitap > Edebiyat > Roman (Yerli),Serkan Karaismailoğlu,ELMA YAYINEVİ,5 / 5 (2011 oy),14.768,1.079,135,2.396,"320,00",28.05.2019,TÜRKÇE,424,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,37229,1.218
Cumhuriyet Gibi Bir Kadın Nahit Hanım,Kitap > Edebiyat > Roman (Yerli),Osman Balcıgil,DESTEK YAYINLARI,5 / 5 (28 oy),956,70,7,47,"480,00",17.04.2025,TÜRKÇE,520,Karton Kapak,13.5 x 19.5 cm,Kitap Kağıdı,2037,14
Ekonomi OkuluBir Para Yönetimi Macerası,Kitap > Çocuk Kitapları > Roman,Yaşar Bayraktar,TİMAŞ İLK GENÇ,5 / 5 (75 oy),953,63,10,135,"135,00",10.01.2024,TÜRKÇE,128,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,5422,50
Yitik Cennet,Kitap > İslam > Günümüz İslam Düşüncesi > Kitap > Felsefe-Düşünce > Genel,Sezai Karakoç,DİRİLİŞ YAYINLARI,5 / 5 (1538 oy),9.197,1.027,124,1.613,"120,00",01.05.2013,TÜRKÇE,144,Karton Kapak,13 x 19.5 cm,Kitap Kağıdı,37447,647
Küçük Prens,Kitap > Edebiyat > Roman (Çeviri),Antoine De Saint Exupery,KAPRA YAYINCILIK,5 / 5 (452 oy),6.323,463,70,2.261,"20,00",13.01.2021,TÜRKÇE,96,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,69061,280
Sıfır Noktasındaki Kadın,Kitap > Edebiyat > Roman (Çeviri),Neval el-Saadavi,METİS YAYINLARI,5 / 5 (799 oy),9.289,454,34,1.238,"182,00",09.05.2023,TÜRKÇE,112,Karton Kapak,13 x 19.5 cm,3. Hm. Kağıt,15235,514
Kızıl Veba,Kitap > Edebiyat > Roman (Çeviri),Jack London,KAPRA YAYINCILIK,5 / 5 (171 oy),4.855,251,20,391,"30,00",10.04.2021,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,8917,102
Hayatın Kaynağı,Kitap > Kişisel Gelişim,Ayn Rand,PEGASUS YAYINLARI,5 / 5 (111 oy),5.266,298,38,161,"900,00",02.12.2021,TÜRKÇE,992,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,5005,64
İtiraflarım,Kitap > Edebiyat > Roman (Çeviri),Lev N. Tolstoy,KAPRA YAYINCILIK,5 / 5 (260 oy),4.162,299,27,432,"20,00",28.11.2020,TÜRKÇE,88,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,12084,115
Röveşata Mustafa,Kitap > Çocuk Kitapları > Roman,Sinan Yaşar,FOM KİTAP,5 / 5 (104 oy),1.002,125,12,181,"145,00",20.05.2024,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,7359,76
Yıldızlara Yakın,Kitap > Çocuk Kitapları > Roman,Metin Özdamarlar,TİMAŞ İLK GENÇ,5 / 5 (73 oy),1.203,79,6,89,"145,00",09.07.2025,TÜRKÇE,144,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,6848,67
Göğü Yere İndirelim,Kitap > Çocuk Kitapları > Roman,Özgür Balpınar,TİMAŞ GENÇ,5 / 5 (462 oy),3.225,279,32,613,,19.07.2025,TÜRKÇE,152,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,20801,190
Balino,Kitap > Çocuk Kitapları > Hikaye,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,5 / 5 (580 oy),2.892,234,23,801,"125,00",22.09.2023,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,20063,291
"October, October",Kitap > Çocuk Kitapları > Roman,Katya Balen,TİMAŞ GENÇ,5 / 5 (32 oy),784,75,7,72,"245,00",01.10.2024,TÜRKÇE,248,Karton Kapak,13.5 x 20.5 cm,Kitap Kağıdı,1851,18
İnsanlar Arasındaki Eşitsizliğin Kaynağı,Kitap > Felsefe-Düşünce,Jean Jacques Rousseau,KAPRA YAYINCILIK,5 / 5 (105 oy),3.257,191,18,138,"20,00",16.12.2021,TÜRKÇE,139,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,8120,52
Hakikat Arayışıel-Münkız Mine’d-Dalal,Kitap > İslam > Tasavvuf,İmam Gazali,KETEBE YAYINEVİ,5 / 5 (173 oy),4.681,208,24,217,"100,00",10.12.2020,TÜRKÇE,96,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,7228,74
Çetin CevizSıra Dışı Bir Ödev Hikayesi,Kitap > Çocuk Kitapları > Roman > Kitap > Çocuk Kitapları > 6-12 Yaş,Sinan Yaşar,FOM KİTAP,5 / 5 (900 oy),4.427,337,62,1.202,"132,00",06.06.2022,TÜRKÇE,64,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,45972,435
İrade Terbiyesi,Kitap > Edebiyat > Deneme (Yerli),Dr. Ethem Bakar,KETEBE YAYINEVİ,5 / 5 (273 oy),6.544,627,118,299,"189,00",16.05.2025,TÜRKÇE,384,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,14662,130
Çalıkuşu,Kitap > Edebiyat > Roman (Yerli) > Kitap > Edebiyat > 100 Temel Eser,Reşat Nuri Güntekin,İNKILAP KİTABEVİ,5 / 5 (2247 oy),15.144,1.564,294,4.287,"730,00",06.09.2000,TÜRKÇE,384,Karton Kapak,13.7 x 23 cm,3. Hm. Kağıt,19760,1.318
101 Deyim 101 Öykü,Kitap > Çocuk Kitapları > Kaynak Kitaplar > Genel > Kitap > Diğer > Atasözleri & Deyimler,Süleyman Bulut,CAN ÇOCUK YAYINLARI,5 / 5 (892 oy),4.714,399,114,869,"300,00",19.03.2019,TÜRKÇE,204,Karton Kapak,16 x 24 cm,Kitap Kağıdı,38743,417
Yaratılıştaki SırlarEl-Hikmetu Fi Mahlûkatillah,Kitap > İslam > Tasavvuf,İmam Gazali,ÇELİK YAYINEVİ,5 / 5 (97 oy),3.328,138,15,149,"130,00",10.04.2020,TÜRKÇE,136,Karton Kapak,13.5 x 21 cm,Kitap Kağıdı,3854,46
Doğunun Limanları,Kitap > Edebiyat > Roman (Çeviri) > Kitap > Orijinal Dil > Fransızca,Amin Maalouf,YAPI KREDİ YAYINLARI,5 / 5 (3263 oy),20.957,1.529,146,4.778,"250,00",04.12.2019,TÜRKÇE,183,Karton Kapak,13.5 x 21 cm,3. Hm. Kağıt,47042,1.782
Mektub,Kitap > Edebiyat > Anlatı,Paulo Coelho,CAN YAYINLARI,4 / 5 (64 oy),2.304,149,11,150,"220,00",05.09.2023,TÜRKÇE,200,Karton Kapak,12.5 x 19.5 cm,Kitap Kağıdı,2976,34
Kirli Çark,Kitap > Siyaset > Araştırma-İnceleme,Murat Ağırel,KIRMIZI KEDİ YAYINEVİ,5 / 5 (18 oy),562,42,4,24,"400,00",20.02.2025,TÜRKÇE,352,Karton Kapak,13.7 x 23 cm,Kitap Kağıdı,1708,11
